hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
FLI1,101,442,49.5,98
CENPU,23.5,238,66.55,0.038
ACSL1,114.55,344,0.955,213.5
SLC25A4,1.945,259,0.05,0.55
AMN1,0.557,0.67,418.5,0.04
BICD1,3.45,0.12,0.445,0.0395
SAV1,420.91,87,0.05,12.5
NBAS,270.5,140,0.716,96.175
ZNF385D,0.63,0.68,0.475,0.925
GUF1,64.1,20,102.516,99.5
SACS,3.0985,237,73.5,0.875
PABPC3,3.3,6,3.05,4.75
CENPJ,1.055,0.18,0.445,28.5395
FBXO4,41.6,5.4,295.0325,0.105
TMEM267,0.2825,285,0.017,81.025
PARP8,241.5,224,540.017,149
CACUL1,1978.5,387,224,1669.5
TIAL1,1839.5,2443,396.5,4686
BAG3,51.3,0.21,0.29,356.38
AP1S3,0.14,0.018,0.016,0.065
RABGAP1L,1705,2851,175,1742.5
MZT2B,69,105,9.75,161.5
FAM168B,319.21,75,2.27,529.5
,30.21,7.3,121.62,342
MGAT5,151.065,72,175.95,0.155
GPATCH11,327.5,1259,409,1184.5
GEMIN6,37.5325,0.63,0.0505,10.5
OBI1,15.805,76,0.0345,49.5
SETBP1,124.75,0.84,0.0325,16.09
ARL14EP,260.25,0.16,0.235,35.55
EPG5,50.5,304,22.016,62.62
PSTPIP2,6.58,43,0.083,132.013
ATP5F1A,3253.5,3081,1076,1673
HAUS1,630,1042,346,473.5
C18orf25,980.5,45,148.12,397.5
SPC25,0.0395,0.088,0.0345,0.0515
PDK1,63,0.97,225.0485,4.65
PDE3B,140.5,398,59.115,932
TGOLN2,1130.5,343,977,1568.5
UHMK1,410,62,843.5,627
ATG10,39.35,14,3.3,139.8
POC5,105.76,1.3,35.5,0.08
TADA1,4.8985,0.16,305.5,0.08
CWF19L2,167.5,714,80.5,1430
JMY,503,974,970,1167
XRCC4,9.675,92,0.0345,0.0395
ZNF776,17.0325,0.018,0.0325,0.1515
RPP38,188.55,0.21,72.0345,0.19
NMT2,92,296,372,24.5
USP12,110.016,7.4,83.395,198
CCDC50,54.995,503,723,455
CAMK4,967,780,235.5,765.825
ZFP36L2,3994.5,6888,2662,1854.5
PAN3,4531,2704,2829.5,3765.5
PFKM,0.0105,0.035,46.5,0.013
TMEM123,551,970,1047.5,1066.5
MBNL1,4065.5,5914,2477.5,5517.5
NADK2,186,105,39.585,133.225
GPD1L,3.015,114,415,0.0265
PELO,413,250,235.5,476
RASGRP3,22.615,132,0.1535,0.525
SAR1B,2008.5,594,438.5,682.5
GPR180,16.08,0.21,0.016,0.355
FARP1,0.4635,24,405.85,39.58
IFIT5,50,0.58,125,0.475
PRDM8,0.007,0.19,35.5,0.0265
HNRNPDL,1610,4092,1587.5,3711
HHEX,6.5485,0.23,0.05,0.21
UTRN,1006.21,292,403.5,357
GGPS1,1203,426,0.79,42.9
MARVELD2,0.0465,0.018,0.017,0.1015
RAD17,125,0.053,79.85,210.6
MED21,96.76,18,63.26,51.05
JAKMIP1,738,459,0.085,227.5
SREK1IP1,72.92,241,298.5345,632.5
CWC27,138,140,644.62,28.05
MR1,198.5,122,0.016,772.55
SRP19,935.5,540,897,928.5
CENPH,13.565,0.053,0.016,4.65
CDYL,20.5485,181,0.8485,62
CARHSP1,44.08,131,152.5345,207.5
BANK1,44.016,2.1,0.435,89.45
TXNDC11,72.5485,394,194.5,181.5
BCL2L11,624,1321,643,93.5
ANAPC1,22.55,31,359.5,16.5
CAST,498,985,1019.5,2327
SCOC,73.0325,41,0.57,115
SMARCA5,949,1421,1317,575
RGPD3,1.638,0.54,0.055,0.385
RASSF3,834,756,862.5,1188
HNRNPU,2149.5,1600,1514,1742.5
RANBP2,2427.5,4156,493.5,1050.5
AHCTF1,164.1,512,53.85,273
TMEM87B,172.4,228,53.55,0.59
NR4A2,868.5,1779,75.4,329.35
RBMS1,85,560,1723,246.5
SCN3A,0.11,0.018,0.066,1.3895
CD96,3980,7831,539,2244
FAM49B,1140,1398,2372,1676
ASAP1,68.45,534,198.516,540
TRAPPC8,42.5,147,745.66,278
LINC00467,332.021,166,0.0325,36
INO80C,126.6,402,6.2,851.5
LPCAT1,4.53,371,0.27,206.85
NMRAL1,294.5,30,0.033,2.8265
TMEM251,1.9485,0.035,0.016,40.525
ING1,72.63,0.035,519.5,31
CMTM7,446.5,233,775,1213
UBP1,141.0485,160,508.5,721
RMND5A,1200.5,223,46.45,421
CD8A,1556.5,1043,82.5,1566
RPIA,34.0485,21,255.017,0.105
GTF2E1,2.4985,48,0.275,0.08
CFDP1,140.5,240,1.065,490
ZDHHC7,52,0.49,168.0485,378.45
JAZF1,118.5,0.44,154.115,3.255
CMIP,34.065,132,3.15,97.625
TRIP12,1734.5,1091,420.5,284.5
CEBPG,760.5,357,877.5,373
MCOLN2,66,0.54,80.016,325
SREK1,1231.5,1415,241,1502
CHD1,2719,2991,2651.5,1948
DGKE,53.35,4.1,5.1,239.3
HS2ST1,41.805,0.39,0.033,74.5
MSI2,108.5,386,386,546
ZUP1,61.855,126,213.5345,179.5
NUS1,71.435,100,0.33,107.75
PPP2R5E,188,712,993.5,459.5
TBCEL,12.5,23,0.0655,35
ANKH,198,17,11.12,459.25
OTULIN,447.5,185,370,196.5
UBASH3B,129.5,2.6,626.5345,63.79
TBRG1,578.5,758,567.5,1543.5
RETREG1,1.55,179,0.0345,113
GPR15,67,124,0.136,420.6
TOMM70,12.95,685,0.065,0.21
PITPNC1,60.385,408,0.162,6.945
CC2D1B,29.58,7.6,0.0345,0.09
PRKCA,38.805,11,0.29,0.7895
LRRK1,5.4,0.11,0.185,5.55
ABCA5,104.516,68,0.94,552
MIA3,907.5,616,1.16,346.5
TNIK,255,340,5.74,643
NEIL2,106,44,0.291,308.145
LONRF1,58.516,0.053,0.24,2.99
ENAH,0.81,0.018,0.017,0.163
CCSAP,27.5,100,187.725,81.45
SH3RF1,0.072,0.46,0.115,0.09
GBP5,1966,1744,2299.5,2060
BUB3,2901.5,2957,1283.5,2026
DIPK1A,680.5,54,0.066,65.025
ATP5MC3,2060,2176,406,634.5
ELOC,519.5,1664,708,786
LY96,1.305,0.07,0.45,36
CEP170P1,3.7325,6,0.017,0.013
BTG3,748,1496,695.6,1010
C21orf91,255.08,1744,430.05,1409
RABGEF1,204.065,1414,429.5,154.5
MRPL39,6.87,2.2,0.325,0.195
ATP5PF,2212.5,3179,2542,1977
GABPA,107.25,77,407,162.1
SLFN13,11.4,68,112,1233.5
XPC,408.25,802,222.65,1385
CCDC174,365.5,280,652,102
FLCN,297,60,130.5,601
DPH3,120.45,486,30.84,545
OXNAD1,223.5,85,131.275,12.3
CXXC1,180.5,3.2,284.5,77.15
SKA1,0.9325,0.053,0.95,0.113
PPP4R1,26.325,34,326.516,405.5
CCDC144B,37.88,235,1.92,226
MPPE1,6.45,17,0.315,254.5
EME1,0.007,0.053,21.5,0.013
ACSS1,0.47,0.088,269.83,126.5
ANKRD40,1022,229,280.95,636
VOPP1,363.65,1147,16.195,1068
APOOL,122,0.19,0.112,26.59
RSPH10B,1.02,0.57,0.07,0.115
KLF10,111.66,508,0.28,64.75
AZIN1,257.05,581,3.425,51
ATP6V1C1,204.5,94,0.42,0.3
OTUD6B,63.5,196,6.08,41.05
GTF3C6,1720,2654,731,1392
TTC39B,160,84,3.666,24.5265
AGPAT5,297.95,237,3.19,505.5
MMS19,11.13,171,11.0325,22.4
PI4K2A,17.5,244,110.5,762.055
MARVELD1,0.0485,0.018,0.016,0.013
SLC25A28,0.925,92,0.65,32
HSPA13,858.5,3.5,1304.5345,496.5
SAMSN1,8555.5,4367,2387,2509.5
USP25,122.5,206,0.0655,26.735
GRAMD2B,420,26,0.7325,165.125
ZCCHC10,1259.5,61,38.105,260
C16orf87,549.5,620,1045.5,294.79
MOV10,90.5485,170,1.945,49.5
RHOC,953,676,21.0485,591.5
DBI,3109.5,3931,2394,2026.5
SLC16A1,411,548,442,439.5
HEATR3,14.5,0.018,0.0345,0.013
NIFK,109.3,215,1284.5,101
OXA1L,610,239,556.5,35.025
SLC7A7,0.442,0.018,0.095,0.09
LARP1,772,1050,321,994
CNOT8,843.5,300,967.5,105.45
MIER3,17.16,0.18,7.5,0.025
NUP205,5.645,363,219,0.13
ZKSCAN2,4.55,0.11,67.5,33.5
C9orf85,3.53,109,170,0.235
PIK3AP1,534,195,33.065,0.485
RBM45,7.55,0.12,212,113.5395
TTN,1091.5,2394,656.5,1403
PDIA4,244,293,907,475.5
KCTD18,2.705,0.035,0.0485,0.13
FAM126B,261.5,407,153,4.35
RNF20,323.5,194,129.08,143.35
ELMO1,91,872,17.5,688
SLC26A2,5.145,22,0.065,1.025
MED7,807.5,103,0.016,114.05
RRAGA,216.65,149,0.033,434
RASA2,895.5,601,77.5,400
RMND1,74.0325,0.56,0.016,59
SLA,4481.5,2194,3246.5,4609.5
TMBIM4,1143.5,1260,520.05,1025.5
VBP1,586.5,1262,467.5,1786
RAB39B,110.5,0.018,0.4625,0.525
VPS37A,57.4,121,400.5,180.5
PSD3,0.232,0.053,0.916,27.5
CARNMT1,581.5,3.3,296,335.65
MCU,19,0.018,0.666,0.8
ELMSAN1,2878.5,773,1682,2322.5
FAM161B,104,3,6.15,754
GNAQ,14.24,0.14,0.44,440.16
ADK,147.8,500,291.15,193.1
KCNMA1,0.0555,0.018,0.016,0.0265
BATF,2950,2596,3135,3757
DCK,210.095,887,111.7,240
DPY19L4,38.016,0.018,37.5,157.065
NDUFAF6,11.5,0.088,0.145,0.26
DRAM2,161.75,295,39.615,4.55
WHAMM,230,398,422,349
CXCL13,1109,1120,366.5,350.525
RWDD2B,0.1685,85,46.516,135.5
USP16,1305.5,2620,339,451
CCT8,629,479,610.55,1124.5
MAP3K7CL,48.5,0.16,0.55,0.25
BACH1,245.95,1092,526.88,586
TIAM1,186.74,753,383.1,304
SCAF4,62.695,43,349.5,2.15
RPGR,26.595,70,0.0345,200
PCGF6,1.066,36,0.0325,2.4
SFR1,0.25,0.018,0.08,0.305
ATP5MPL,1218.5,849,1235.5,1304
UQCRB,1798.5,2578,2112,1991.5
MTERF3,56.175,526,0.85,172.5
PTDSS1,312.75,329,238,596
PPP2R2B,184.5,117,18.5485,0.2765
RPL30,1336.5,3508,1353.5,1176.5
FAM122C,55.115,128,0.033,0.275
SUPV3L1,390.16,860,198,70.575
FAM122B,2.3,73,383,116.08
EEF1A1,43487.5,54977,37748,46326.5
HK1,51.08,212,40.5,294.5
PHF6,125.5,96,0.0495,266
CD109,52.175,0.07,0.75,85.5
UBE2L6,1992,1002,1311,1152
ZDHHC5,508,107,32.225,328.5
MED19,173,545,11.0485,334.025
ZFAND3,10.5,17,188,5.4
NPTN,97,2.3,349.5,206
KAT6B,494.5,188,716.5,742.95
SAMD8,901,111,439,196
RAB11FIP1,767.5,812,430,1083.5
UTP14A,46.5485,1.5,98.516,21.05
AIFM1,20.87,0.088,447.6,0.5145
BAG4,624,302,1378.5,2528
MS4A1,220.565,208,28.08,6.55
TBC1D31,299,256,232.8,4.7
WDYHV1,7.5485,1.8,0.2925,0.155
ATAD2,356,570,196.0485,280.065
FBXO32,153.5,250,681,54.325
NSMCE2,70.725,579,286.0325,375.5
ZNF689,110,9.1,293.516,0.13
PRR14,21.58,116,387,2.6
FBRS,59.675,33,605,237
PHKG2,59.58,42,0.112,260.5
MFSD14A,213.5,1759,127.75,776
SASS6,0.1065,0.68,33.5,283.7
MALSU1,105,88,0.372,109.45
VPS8,91.0485,6.1,0.08,29.525
GALK2,101.25,16,25.017,37.6
B3GNT7,304,317,1.05,94.7
BUB1B,25.615,0.14,0.016,0.16
PDE6D,430,0.82,403.5,523.305
EIF4A2,1436,3261,716,2412.5
BRPF1,22,9.7,3.85,3.675
TATDN2,92.13,296,400,96.5
SEC13,36.805,361,40.6,300.5
EXOG,52,9.3,0.066,20.55
NTAN1,108.1,210,388.605,0.68
SMG1,463,965,224.5,1056.5
FCHO2,0.445,0.018,0.1535,32.5395
ODR4,160,756,23.0325,55.95
NECAP2,181.8,1264,309.71,1077.5
SSBP3,21.5485,4,5.016,18.55
GATAD1,525.514,0.088,200.58,1.2265
SUSD3,82.5,306,388.7,0.625
ZFHX2-AS1,25.1,0.086,85.0485,542.2
DHRS4,95.165,123,0.115,0.0265
DDX19B,106,631,6.516,29.5
ST3GAL2,356,853,69.516,37
KIT,0.09,0.035,0.372,51.5265
AASDH,60.5485,54,339.5,47
RNF111,365,7.5,1363,525.5
CCNB2,0.1495,220,7.0485,0.0515
MYO1E,24.845,0.053,0.067,141.525
APPL1,170.5,443,35.565,567
TSC22D3,4837,2989,3253,5072
VPS26C,109,285,0.227,50.435
DYRK1A,480,855,70.55,464.5
ETS2,46.5,4.7,1.95,0.0265
SLC35B2,51.42,2.9,0.2,0.09
TMEM164,14.095,0.088,0.0345,0.075
MX1,141,629,1368.5,1458.5
TAB3,808.5,510,198.58,0.65
SLC38A10,16.275,57,0.115,95.85
SNX22,17,23,35,19
UBN2,9.95,481,73,11.5
BRAF,104.5485,514,849.195,29
PSMG3,314,629,5.21,1578
SLC37A3,18.645,0.12,380,15.75
AP3S2,7.527,0.33,2.566,83.5
SPPL3,28.516,234,188.95,0.1645
TNFRSF14,97,425,99.195,107.5
PANK4,30,0.44,115,0.0645
C12orf43,10.645,76,0.0495,1.125
PEX10,0.044,0.053,0.016,8
RER1,742.5,906,278,435.5
SKI,264.5,134,23.25,124
WIPI2,549,439,1359,112
BABAM2,233.4,401,398.74,509.5
WDR66,0.016,0.035,0.0485,0.038
MRPL17,44.85,64,0.162,181
DUSP2,529.6,568,244.325,423.05
UBXN11,67,33,4.9,21
NCK1,531.5,368,214.16,1689
TPRG1L,57.25,375,1.77,178.575
PRXL2C,649,235,908,1907.5
CNNM4,642.5,205,0.0325,132.88
EYA3,2722,269,555.5,2.2
WASF2,926.5,667,476,2147.5
ABHD3,416.5,1.1,488.1,125.05
FAIM,4.945,0.018,0.105,0.055
COLEC12,0.225,0.088,0.033,0.063
CUL4B,162,121,1.775,106.025
AUTS2,278,849,0.51,211
H2BC5,97.71,0.018,0.085,25.15
H4C8,11.516,0.035,0.0325,0.145
MITD1,434,433,219.0485,328
EIF5B,2005,1877,686.5,1063
CNOT11,101,0.54,27.5,153.025
B4GALT5,143,236,685,163.825
NCF1,14.065,573,0.132,0.42
TSR2,97.5,129,6.675,853
ZC3H18,206.5,229,443.0325,405.5
ZFAND2B,31.7,544,0.415,1.5
TMED4,1758,1916,1870,3133.5
PPP1R15B,572.5,497,2.9,188.55
EMSY,178.0325,175,229,1.21
GPAT4,443.5,0.16,22.15,81.1
ZSCAN12,0.195,0.018,0.065,0.013
TAGLN2,997.5,1549,934,2888.5
ELK4,370.85,207,408,200
DUSP23,96,612,1.6845,20.5
RNF166,74.13,57,0.105,0.18
F11R,1.235,33,0.135,0.495
DEDD,115.5,928,115.15,1461.5
ZNF276,136.565,462,2.717,87
PINK1,5.075,0.088,0.033,0.0515
B4GALT3,45.24,31,25.8,71.605
DMTN,1.816,4.4,0.016,262.5
FAM160B2,40.0485,0.12,0.0345,87
NDUFS2,303,11,221.017,678
FCER1G,40.5,206,5.9,269.95
APOA2,570.5,4.5,1.875,0.9
CCAR2,25.065,11,9.0325,76.7
CDC42SE2,41053,22717,20281,34442
RAPGEF6,624,604,1502.5,208.5
EPB41,650,66,202.45,447
MIS18A,57.55,39,79.2,3.2
ALG8,81.275,295,45.05,75
FBXW5,39.92,113,0.016,14.575
CFAP298,34.8,246,239.4,0.375
SYNJ1,56,0.77,138,118
PAXBP1,144.5,916,17.5,206.5
IFNAR2,43.615,1313,224.5,319.9
MRPL10,382.095,563,1108.5,675
IFNGR2,182.5,65,72,39.9
GART,88,11,175.13,881.5
SON,8845.5,12069,6733,6701.5
DONSON,28.5,408,125,1.3895
CSRP1,24.0485,196,0.22,133.5
C1QC,23.3,0.16,0.7345,0.14
ATP5MC1,843.5,130,1.595,841
UBE2Z,292,2.3,1136,241.5
SNF8,8.87,0.088,15.775,46.6
RUNX1,921,114,60.7,117
CBR1,313,297,0.1685,106.575
CBR3,118,1.5,0.0495,0.7
MORC3,533,303,1.69,894.5
CHAF1B,0.5985,0.12,131,0.105
SCUBE1,32.5,726,239,0.245
ARHGAP27,0.78,15,144,17
ADPGK,428.75,433,410.5,439
PTMS,13.725,0.4,34.5,0.34
ADIPOR1,245.35,225,94.2,861
CYB5R1,45.15,244,0.7325,430.5
PSMD4,601.5,2700,830.5,1797
ATP13A2,0.466,0.035,6.0485,24
PSMB4,5372,4062,3532.5,4437
BTG2,385,384,630.5,711.5
HK2,6.62,66,48.5,2.4
THEM4,151,634,0.136,179
UBR1,179.05,66,18.12,218
AMFR,1061,441,331.5,1340
MED8,75.1,57,0.76,101.15
RGL4,273.5,1111,404.5,321
RSPRY1,71.5,302,70.7,951
GPBP1L1,544,677,258,1185
NAE1,324,1.8,242.57,611
TMEM69,2.28,0.49,0.085,295
ADGRG5,0.0465,0.25,0.016,0.0265
EFCAB14,1439,258,701,410.2
SPON2,0.95,457,0.016,136
CTBP1,3847.5,2104,914.5,2397.5
ATP6V0D1,303,159,65.0485,139.5
ZFYVE28,56.5485,0.035,422,13
ZYX,111,287,4.415,37.525
ABR,222.715,251,28.016,49
CCDC117,204,14,60.1,1520.5
CCDC107,249.15,515,1.95,937
ZNF235,0.0415,18,0.016,1
TNFRSF13C,19.74,24,383,393.5
ARHGAP35,75,0.018,18.0485,0.27
CALM3,774,730,809,1075.5
DFFA,135.5,68,1.43,110.2
CCDC28B,86,12,0.75,52.105
TMEM234,615.5,178,20,45.6
BSDC1,108,42,442.085,0.375
ATAD3B,4.9325,0.3,6.0485,46.0395
SSU72,488.5,380,652,1264
UBE2J2,695.5,241,104.565,443.5
ZNF362,38.065,21,31,109
CCDC58,147.5,29,350.5,85
VMA21,64.145,98,151,50.6
ABCG1,299,786,27.79,70.525
TFF3,2.321,127,0.5,33.5
TMPRSS3,252,0.44,0.08,95.5
UBASH3A,94,172,17.565,415.5
SLC37A1,7.595,254,182.517,65.5
WDR4,0.595,0.018,0.017,0.09
NDUFV3,224.5,21,64.75,162
PKNOX1,50.645,1018,124.76,305.525
U2AF1,693,677,293.5,555.55
RRP1B,59.095,446,2.44,567
PDXK,19.74,80,0.36,184.5
CSTB,1170,1261,578,778
RRP1,0.5135,0.07,0.016,0.055
AGPAT3,98.65,3.4,463,177
TRAPPC10,71.5,366,89.0325,0.0515
GAB3,184.675,153,139.5,0.34
GATD3A,104.65,343,295.4,1.95
ICOSLG,1.195,0.44,0.017,39.575
ITGB2,1341.5,1083,512.5,185.5
RALGDS,242.5,104,24.5,341.15
LSS,1.1485,278,0.112,0.055
MCM3AP,83.63,149,44,457.835
C21orf58,0.083,0.07,0.017,27
PCNT,35.5,303,138.615,1073.5
DIP2A,470.5,195,113.355,157.25
S100B,0.4785,0.018,0.0345,0.713
PRMT2,795.5,640,354.5,851.5
SLC2A6,0.021,8.9,10.5,0.0265
SHKBP1,43.26,70,0.082,55.625
RDH13,30.565,0.23,0.016,62.5
TAOK1,803.5,526,274.08,246.5
MED27,60.305,165,0.195,0.065
DEDD2,123.15,208,10.517,22.5265
SIK3,62.615,249,171,108.5
MPZL3,1531,1238,0.105,68
JAML,2181,1800,1139.5,1863.5
PCSK7,479.5,71,93,231.5
SAFB,506,599,551,517
CD3G,32934.5,18269,12464,18245.5
CHTOP,53.79,189,0.13,453.9
CXCR5,118.5,33,1.316,11.265
FLAD1,69.3,42,310.5485,206
SHC1,136,142,39.8,59.5
VPS11,88.08,174,0.1185,5.8
ADAR,433.75,704,558.5,1741
IL6R,136.516,511,812,496
UBE2Q1,1746,1173,229.935,0.345
CRTC2,40,4.6,22.2,71
FDPS,471,648,1004.12,423
RUSC1,82.5,0.53,0.017,0.165
GBAP1,0.1755,8,0.275,12.017
PMF1,795,554,128.5485,524
SLC25A44,207.8,7.8,0.0325,53.5
LMNA,298,106,0.72,200.5
CCR5,62.565,109,51.115,166
NBEAL2,1.1825,42,26.517,9
CCDC12,681.5,2380,774.67,2200
UBQLN4,1.95,0.053,0.033,0.625
GPATCH4,402,1.6,73.016,666
FCRL3,0.06,44,79,75.5
NACC1,0.105,0.018,0.016,0.055
IER2,66.05,83,106.85,0.52
ZNF394,159.095,792,190.145,248.9
CPSF4,38.58,0.018,0.0345,0.0265
LY6E,273.5,179,101,163.5
VPS28,186.5,234,213,231.5
PWWP3A,72.145,194,118.325,10.2
LRRC14,13.516,16,84,0.16
ZNF333,0.916,0.018,90.13,1.2
ORAI2,67.15,522,385.5,416.5
MRNIP,321,191,241.5,439.5
SQSTM1,1079.5,1622,207,1204.5
RPL8,4018.5,4196,1784.5,2872.5
MAML1,113.0485,165,503.0345,14.8
NAPEPLD,11.5,0.088,77.5,107.175
PSMC2,462.15,817,697,3713
YDJC,89.5,310,0.0325,34.75
AP2M1,203.55,962,111,630.5
ABCF3,74.0485,25,0.115,38.5
PCYT1A,144.5,155,150.75,496.5
U2AF1L4,1110,469,1320,1764
ZNF382,35.5345,0.018,0.067,0.145
PGAP3,1.5485,28,0.165,0.065
IKZF3,1110,1807,461,2125
SAP30BP,192,292,97.29,1029.5
ACOX1,158,28,2.866,82
PRPSAP1,26.55,196,0.085,278.525
SRSF2,2460.5,2517,1852,2541.5
ALDH16A1,59,16,49.36,0.88
ITGA5,104.675,130,216.175,25
ZNF385A,0.023,0.035,0.0505,19.525
LSM12,2306.5,946,1294,1202.5
EMC10,222,27,195.6,646.05
FMNL3,274,190,50,179
RACGAP1,4.066,88,0.0345,0.055
LARP4,176.5,174,469.5,223.5
GRASP,4.5,3.2,71.615,0.0265
RAVER1,1.166,8.3,10,4.65
SPC24,4.2,14,72.5,0.23
MED11,33.24,107,140.5,146.55
CXCL16,0.93,0.018,0.82,1.305
SCIMP,1.05,0.035,0.0345,0.0645
RNASEK-C17orf49,81.5,83,8.2,46
EIF4A1,3423.5,5112,653.5,5044.5
RPL26,2018.5,3578,2880,1602
POLR3K,72.5,60,0.0485,51.6
SNRNP25,74.1,0.58,7.13,0.95
JMJD8,152.5,17,2.3845,98.5
SPSB3,45.825,258,0.115,482.5
CCNF,4.29,0.21,13.0485,0.38
TBC1D24,4.5985,16,0.016,0.08
FLYWCH2,171,0.035,70.517,26.175
CLPB,4.665,4.6,0.017,0.013
NEU3,7,0.035,27.5,0.065
CYB561A3,26.16,5.9,0.0655,0.725
ASRGL1,0.492,0.14,0.075,0.0395
UBXN1,215.85,511,213,605
TTC9C,40.935,391,201,0.065
NXF1,553,127,283.7,80.55
STX5,6.485,1,16,73.5
SLC25A45,1106,277,389.85,1.83
RPL29,1248.5,2326,1105,1394.5
SYVN1,48.855,4.2,8.5485,6.66
CMPK1,713.5,607,307.5,344
COA7,51.565,0.053,240.5,0.105
ZYG11B,87.095,0.19,139.516,0.038
CZIB,82.05,389,0.1175,25.1
MAGOH,229,258,0.095,334.5
USP24,225.5,276,0.875,120.75
NOL9,117.5,1137,0.016,228.075
KLHL21,181.0485,352,111.5,83
GMEB1,36.16,125,0.016,0.21
JAK1,4186,5216,1272,5211
LZIC,6.7,448,30.55,337.025
DHRS3,141.3,343,16.37,1847.5
LAPTM5,6473,6043,1537,4928.5
PEF1,680.5,162,160,177.4
SYNC,302.5,68,182,310
RBBP4,700,297,568,488
KIAA1522,0.0325,0.018,0.017,0.09
TMCO4,44.5325,177,0.0485,0.025
FAAP20,8.58,20,0.132,4.955
IL23R,63.47,106,33.516,18.05
NFIA,64.7,0.68,0.086,164.75
OMA1,30.115,0.12,13.0485,162.55
MYSM1,198,335,28.5325,925.5
TM2D1,87.5,553,5.605,311
USP1,848.5,187,651.5,218
FUBP1,1291,1479,297.5,810.5
DNAJB4,115.5,297,194.435,345
TYW3,723,184,658,68.5
FAM102B,34.1,24,0.395,463.025
HENMT1,684.5,175,0.08,3.1
C1orf52,474.5,143,0.3425,113.575
GBP2,2057.5,1577,2665.5,2928.5
GBP4,1032,377,77,974.5
ZNF326,347,568,610.5,483.5
GFI1,79,34,197.8,159.525
AGL,61.8,160,23,28.525
VCAM1,209.5345,510,0.016,0.08
EXTL2,1.095,0.12,0.227,713.5
SLC30A7,705.5,1627,461,674
ZNF281,77.87,426,755,195.5
ARPC5,4954,1315,907,1311
NLRP3,3.76,0.07,0.37,135.55
ZNF496,789.021,0.053,0.066,0.1765
DDR2,0.021,16,0.016,0.05
PEA15,92.79,91,7.14,0.575
PEX19,71.26,133,0.1025,172
NCSTN,57.195,0.018,203.05,0.17
SLAMF6,7.016,433,222.516,355.5
FLVCR1,6.065,53,0.08,0.08
ATF3,0.73,39,0.2,0.09
RBM15,50.0325,401,81.08,0.09
DENND2D,57.516,0.12,227.5,693
IER5,288,970,147.5,149.05
BPNT1,36.0325,0.018,0.033,71
BROX,1948,805,2139.5,1889.5
NBPF20,13.14,48,0.097,2.7745
ACP6,356,155,27.0325,358
MT2P1,1.075,1.2,0.0345,0.28
TFB2M,50.08,199,0.08,398.05
CNST,449,147,450.605,332.55
MAPKAPK2,47.4,42,20,175.5
IL24,3.15,340,173.517,0.85
FCMR,975,1263,394.4,257.5
PIGR,0.5915,114,20.065,25.6
CAPN2,291.2,1265,123.5,761
MRPL55,680,278,139.16,244.15
WDR26,829,2131,1506.5,602.5
REL,2169.5,2920,1267,1658
PUS10,58,4.2,295.065,1.55
PEX13,279,0.07,2.25,54.825
MEMO1,48.25,0.79,8.065,228.5
DPY30,873,1125,377.5,528.5
TYW5,7.3,38,203.3,411.565
MAIP1,18.74,138,163.105,198.85
SLC66A3,340,633,62.017,384.9
ARL5A,66.665,278,0.162,47.85
CFAP36,64.355,0.12,0.0485,129.05
NUP35,37.016,237,0.42,60.05
CCDC138,27,0.12,0.177,1.9
SMC6,299.885,353,122.5,795.075
H3-3A,4687.5,3664,1906.5,3776
COQ8A,19.74,85,203.965,0.395
SGCB,44.016,188,0.55,26.525
SGPP2,161.5,0.07,478.65,0.285
SMARCAD1,898.5,0.12,28.63,525.145
HPGDS,0.261,0.053,0.75,29.235
PDLIM5,164.5,0.12,3.9485,300.5
RPRD2,163.5,48,255.5,446.5
ANKRD23,153,0.018,0.017,10.5
CTSS,888.5,370,117.5,1440
LYSMD1,15.63,0.035,0.016,7
SCNM1,302,1261,7.615,722.5
VPS72,70,0.75,0.016,164
ERCC3,12.095,259,532.5,1
RNF149,1346,1925,1107.5,1377.5
IWS1,435,349,172.5,262
BOLA3,574,334,217.5,492.5
CDC42EP3,338.595,1094,44.095,1078
S100A11,1870,2597,2246.5,3190.5
DHX57,66.5485,13,0.265,0.225
ARHGAP25,770,380,513.5,657.5
CCNYL1,39.175,89,0.0325,67.555
DCAF16,50.58,298,14.695,393.5
GNPDA2,13,15,0.07,106.62
PAQR3,470,70,110.5,54.7
ANTXR2,64.0325,49,1642.62,8.8
HELQ,24.5,0.39,215.5,67.525
MRPS18C,127.15,118,448,1453.5
CGGBP1,422.5,394,853.5,1311.5
ABRAXAS1,3.25,0.035,0.065,52.05
GPR155,17.79,304,313.8,172.5
PMVK,29.065,128,96.5,183.075
PBXIP1,1320,980,1096,2882.5
PYGO2,6.76,0.11,68.016,0.013
HIPK1,1132.5,392,123,526.5
COL6A3,12.0485,0.035,0.45,0.0395
LINC01116,2.92,0.67,0.245,0.36
YY1AP1,38.75,193,0.72,215.05
KBTBD8,107.5,0.49,196.3,0.195
EOGT,53.5,399,332.595,0.195
LMOD3,771.15,0.3,95.5,249.55
NAXE,952.5,381,96.5,422.5
POGLUT1,308,189,497.55,710
ATP1A1,390.9,66,271,352.5
EIF4E3,510.5,399,226.5,319.575
PROK2,82.516,0.07,0.3895,0.8
LRRC58,117.6,381,688.5,34.1
TMEM183A,491,193,680,413.5
IGFBP7,17.1,15,42.5,3.4
