##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	1	133	0.101578790359	0.116090046124	SNRPB	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:6628%09red
RHO GTPases Activate Formins	Reactome	R-HSA-5663220	1	136	0.103733353299	0.117395632702	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663220
Insulin signaling pathway	KEGG PATHWAY	hsa04910	1	137	0.104450417607	0.117395632702	EIF4E	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:1977%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	hsa04120	1	137	0.104450417607	0.117395632702	UBE2I	http://www.genome.jp/kegg-bin/show_pathway?hsa04120/hsa:7329%09red
PTEN Regulation	Reactome	R-HSA-6807070	1	137	0.104450417607	0.117395632702	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807070
Measles	KEGG PATHWAY	hsa05162	1	138	0.105166920962	0.117395632702	ADAR	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:103%09red
Homology Directed Repair	Reactome	R-HSA-5693538	1	138	0.105166920962	0.117395632702	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693538
Metabolism of steroids	Reactome	R-HSA-8957322	1	147	0.111590278908	0.124084943341	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8957322
mTOR signaling pathway	KEGG PATHWAY	hsa04150	1	153	0.115847447735	0.128323326722	EIF4E	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:1977%09red
S Phase	Reactome	R-HSA-69242	1	160	0.120788938166	0.133284345562	SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69242
Hepatitis B	KEGG PATHWAY	hsa05161	1	163	0.122898443777	0.135094472549	DDX3X	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:1654%09red
Influenza A	KEGG PATHWAY	hsa05164	1	167	0.125703421192	0.137652415602	ADAR	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:103%09red
Regulation of expression of SLITs and ROBOs	Reactome	R-HSA-9010553	1	169	0.127102618865	0.138657402398	EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9010553
Major pathway of rRNA processing in the nucleolus and cytosol	Reactome	R-HSA-6791226	1	183	0.136835882326	0.148712204188	WDR43	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791226
Huntington disease	KEGG PATHWAY	hsa05016	1	193	0.143723160117	0.15502722889	POLR2G	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:5436%09red
rRNA processing in the nucleus and cytosol	Reactome	R-HSA-8868773	1	193	0.143723160117	0.15502722889	WDR43	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8868773
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	1	201	0.149194267925	0.160328168517	SNW1	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:22938%09red
Signaling by ROBO receptors	Reactome	R-HSA-376176	1	216	0.159360619406	0.170616573936	EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-376176
Signaling by NOTCH	Reactome	R-HSA-157118	1	231	0.169408160215	0.180702037562	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	1	247	0.179996110327	0.19128737924	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Chromatin organization	Reactome	R-HSA-4839726	1	273	0.196920697152	0.207740515677	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726
Chromatin modifying enzymes	Reactome	R-HSA-3247509	1	273	0.196920697152	0.207740515677	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	1	288	0.206529007701	0.216958830376	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Cell Cycle Checkpoints	Reactome	R-HSA-69620	1	289	0.207165549838	0.216958830376	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69620
Translation	Reactome	R-HSA-72766	1	291	0.208437136563	0.217499620761	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72766
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	1	299	0.213503572168	0.221982053373	UBE2I	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:7329%09red
RHO GTPase Effectors	Reactome	R-HSA-195258	1	321	0.227273338725	0.235448638679	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195258
Metabolism	Reactome	R-HSA-1430728	3	2075	0.230085821932	0.23750794522	UBE2I|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
Human papillomavirus infection	KEGG PATHWAY	hsa05165	1	330	0.232838232972	0.239490753914	CHD4	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:1108%09red
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	1	354	0.24748707747	0.253652235984	EIF4E	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:1977%09red
Signaling by Rho GTPases	Reactome	R-HSA-194315	1	449	0.302834906097	0.309278201971	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	1	458	0.307867087182	0.313306435012	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
Neutrophil degranulation	Reactome	R-HSA-6798695	1	478	0.318922894743	0.3234147665	DDX3X	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798695
Herpes simplex virus 1 infection	KEGG PATHWAY	hsa05168	1	492	0.326559023617	0.329996487023	ALYREF	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:10189%09red
Pathways in cancer	KEGG PATHWAY	hsa05200	1	530	0.346866154929	0.349291792376	TPR	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:7175%09red
Axon guidance	Reactome	R-HSA-422475	1	549	0.356793950378	0.358037134874	EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
Metabolism of lipids	Reactome	R-HSA-556833	1	728	0.443366637829	0.443366637829	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-556833

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
